facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
HSOP104475,Adena Regional Medical Center Dublin Ohio,Hospital/Clinic,6670 Perimeter Dr Ste 200,Dublin,Ohio,43016,No,
HSOP104476,El Camino Health-Mountain View Palo Alto California,Hospital/Clinic,795 El Camino Real,Palo Alto,California,94301,No,
HSOP104477,John Muir Health-Concord Medical Center Antioch California,Hospital/Clinic,3903 Lone Tree Way,Antioch,California,94509,No,
HSOP104478,Pali Momi Medical Center Honolulu Hawaii,Hospital/Clinic,1401 S Beretania St Ste 320,Honolulu,Hawaii,96814,No,
HSOP104479,Forest Healthcare Associates Pc Paramus New Jersey,Hospital/Clinic,277 Forest Ave,Paramus,New Jersey,7652,No,
HSOP104480,Mankato Clinic At Main Street Mankato Minnesota,Hospital/Clinic,1230 E Main St,Mankato,Minnesota,56001,No,
HSOP104481,Gastro Digestive Medical Grp West Memphis Arkansas,Hospital/Clinic,300 S Rhodes St,West Memphis,Arkansas,72301,No,
HSOP104482,MU Health University Hospital Columbia Missouri,Hospital/Clinic,1 Hospital Dr,Columbia,Missouri,65212,No,
HSOP104483,Benefis Health System Great Falls Montana,Hospital/Clinic,400 13th Ave S Ste 102,Great Falls,Montana,59405,No,
HSOP104484,Mcfarland Clinic Ames Iowa,Hospital/Clinic,1215 Duff Avenue,Ames,Iowa,50010,No,
HSOP104485,Kingman Regional Medical Center Kingman Arizona,Hospital/Clinic,1739 E Beverly Ave Ste 101,Kingman,Arizona,86409,No,
HSOP104486,The Bozeman Clinic Sandpoint Idaho,Hospital/Clinic,606 N 3rd Ave,Sandpoint,Idaho,83864,No,
HSOP104487,OHSU Health Hillsboro Medical Center Hillsboro Oregon,Hospital/Clinic,232 Se 7th Ave,Hillsboro,Oregon,97123,No,
HSOP104488,Froedtert Holy Family Memorial Hospital Manitowoc Wisconsin,Hospital/Clinic,1900 Woodland Dr,Manitowoc,Wisconsin,54220,No,
HSOP104489,Fitzgibbon Hospital Marshall Missouri,Hospital/Clinic,2305 South 65 Highway,Marshall,Missouri,65340,No,
HSOP104490,AdventHealth Tarpon Springs Florida,Hospital/Clinic,1395 S Pinellas Ave,Tarpon Springs,Florida,34689,No,
HSOP104491,Greeley County Health Services Hays Kansas,Hospital/Clinic,2500 Canterbury Dr,Hays,Kansas,67601,No,
HSOP104492,Logan County Health Service Tribune Kansas,Hospital/Clinic,506 3rd St,Tribune,Kansas,67879,No,
HSOP104493,Mesa View Regional Hospital Mesquite Nevada,Hospital/Clinic,1301 Bertha Howe Ave,Mesquite,Nevada,89027,No,
